Year,Month,AG,AI,AR,BE,BL,BS,FL,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,??
2021,4,50,0,0,39,5,0,0,9,8,0,0,0,17,0,0,0,21,6,14,10,12,15,0,30,8,0,67,0
2021,5,42,0,0,44,8,0,0,27,17,0,7,0,21,0,0,0,21,0,16,5,19,17,0,40,8,5,83,0
2021,6,40,0,0,58,13,0,0,28,10,0,18,0,16,0,0,0,21,0,8,6,20,12,0,26,0,0,63,0
2021,7,43,0,0,41,13,0,0,24,21,0,10,0,13,5,0,0,20,0,15,0,19,16,0,46,6,0,44,0
2021,8,30,0,7,49,8,0,0,27,10,0,5,0,14,0,0,0,16,0,8,0,26,19,0,30,11,10,62,0
2021,9,14,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,17,0,0,20,0
2021,10,68,0,0,96,15,0,0,40,21,0,18,8,24,16,0,0,32,10,21,13,52,24,0,52,19,7,90,0
2021,11,13,0,0,23,0,0,0,18,0,0,0,0,8,0,0,0,6,0,6,0,7,7,0,11,0,0,31,0
2021,12,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,17,0
2022,1,44,0,0,66,8,0,0,55,24,0,12,5,22,0,0,0,20,0,23,6,29,13,0,45,20,0,80,0
2022,2,38,0,0,50,11,0,0,18,10,0,0,0,8,5,0,0,20,0,7,0,16,9,0,22,7,0,59,0
2022,3,40,0,0,41,5,0,0,31,5,0,8,0,24,7,0,0,10,0,6,0,32,16,0,31,11,0,43,0
2022,4,28,0,0,36,14,0,0,39,21,0,15,0,15,5,0,0,10,0,7,0,22,25,0,24,7,0,56,0
2022,5,23,0,0,39,6,0,0,16,9,0,11,0,11,0,0,0,25,0,9,0,14,10,0,29,9,0,62,0
2022,6,23,0,0,25,6,0,0,20,11,0,13,8,15,0,0,0,8,6,13,0,12,20,0,21,15,5,56,0
2022,7,23,0,0,29,8,0,0,19,9,0,8,0,7,5,0,0,17,0,0,0,15,10,0,14,5,0,40,0
2022,8,25,0,0,37,9,0,0,12,9,0,0,0,10,5,0,0,11,0,13,6,23,10,0,22,11,7,55,0
2022,9,11,0,0,15,0,0,0,16,5,0,0,0,0,0,0,0,9,0,0,0,11,0,0,12,10,0,13,0
2022,10,36,0,0,54,9,0,0,18,17,0,9,5,19,0,0,0,44,6,13,0,28,19,0,34,14,0,50,0
2022,11,15,0,0,19,22,0,0,9,5,0,0,0,0,0,0,0,7,0,0,0,7,6,0,10,0,0,34,0
